标题,房型,面积,层高,年代,价格,地址
"曹杨地铁口。88年房龄,3楼,小区中心位置！看房方便",1室1厅,37m--,中层(共6层),1991年建造,230,曹杨六村----普陀-曹杨-曹杨六村
低中，介费，由由新村婚房装修南北通透你值得拥有的,2室2厅,87m--,中层(共6层),1998年建造,450,由由七村(240弄)----浦东-北蔡-严桥路240弄
宝山一村 48.7平米 230.0万元,1室1厅,49m--,低层(共6层),1998年建造,230,宝山一村----宝山-淞宝-宝东路41号
钥匙房方便看，绿城品质开发，小区绿化很高，居住舒适，适合居家,2室2厅,121m--,低层(共18层),2004年建造,1000,上海绿城----浦东-杨东-锦和路99弄
双南高区景观房带车位，房东惊爆价诚心出售，对口上外直升大同。,2室2厅,116m--,高层(共22层),2005年建造,1030,弘辉名苑----黄浦-蓬莱公园-西藏南路1501弄1-8号
景庭景观公寓复试 大三房格局 带60平米超大露台 好房诚售,3室2厅,162m--,高层(共9层),2004年建造,1150,新时代景庭----闵行-古美罗阳-古龙路287弄
周浦巨献，91平米，106平米，116平米，精装修一手房待售,3室2厅,93m--,中层(共18层),2016年建造,450,九龙仓兰廷----浦东-周浦-祝家港路399弄
由由新邸 小区中心，动迁无营业税，性价比极高，看房随时，急售,3室2厅,129m--,高层(共11层),2002年建造,740,由由新邸----浦东-北蔡-严桥路58弄
顶楼复式+一手动迁+使用面积130平,2室1厅,78m--,高层(共6层),2008年建造,380,金利公寓----浦东-唐镇-南曹路901弄
72户都带游泳池，经典小户型花园500平，业主回港诚意出售,4室3厅,288m--,共2层,2005年建造,1618,居礼别墅----青浦-徐泾-高泾路555弄
满2年、精装自住正气一室，送部分家电，中心不靠路，真实拍照,1室1厅,55m,中层(共18层),2012年建造,233,海尚东苑----浦东-曹路-金睦路353弄
航武嘉园 全明户型 配套成熟 临近鹤沙航城地铁站 景观楼层,1室1厅,58m,中层(共18层),2013年建造,200,鹤沙航城航武嘉园(西区)----浦东-航头-航瑞路459弄
精装修花园洋房松江佘山新城联排别墅新房子无税费,3室2厅,89m,中层(共18层),2017年建造,340,路劲佘山院子(别墅)----松江-小昆山-崇南公路599弄
*70年产权* 落户 可上学 配套成熟 低总价交通便利,3室2厅,112m,中层(共19层),2012年建造,89,美乐公园郡----上海周边-苏州-太仓市港区龙江路280
《热推房》挑高+边户+南北向+业主急售+惜售！挑高！,4室2厅,227m,共3层,2009年建造,3200,四季雅苑(公寓)----浦东-世纪公园-花木路1983弄
（NEW)华光花园新出两房， 全新装修带地热，诚心业主出售,2室2厅,118m,中层(共6层),2000年建造,725,华光花园----闵行-金虹桥-虹梅路3297弄
金山22号线，近万达广场，首付27万落户金山，可上学可落户！,2室1厅,56m,低层(共6层),1988年建造,90,石化八村----金山-石化-蒙山路91号
泰晤士小镇稀有复式带花园，70年住宅，好房源,4室2厅,177m,共4层,2006年建造,850,泰晤士小镇----松江-松江新城-三新北路900弄
04年小区，温馨舒适两房带飘窗  厅南北通 好地段 交通便利,2室2厅,107m,低层(共30层),2004年建造,765,精文城上城----闸北-新客站-虬江路1488弄
对口卢湾二小，总价低，有尖顶可开发，层高3.2米，真盘实价,1室,10m,共3层,1946年建造,150,永嘉路19弄小区----卢湾-淮海中路-永嘉路19弄
爱博家园  正规一房 紧邻地铁 性价比高   房东急售,1室1厅,60m,高层(共13层),2009年建造,300,爱博一村----闵行-华漕-宁虹路1101弄
湖山在望花园岛屿独栋中心位置田园小学全套房设计,5室3厅,445m,共2层,2012年建造,2500,湖山在望花园----闵行-颛桥-都市路2566弄
禾峰乾庄，嘉兴高品质别墅区，现房价格低，环境好，配套成熟,4室2厅,348m,共3层,2016年建造,282,禾峰乾庄(别墅)----上海周边-嘉兴-余北大街570号
小区中心位置，临湖社区，送20万精装修，家具全送，钥匙房！,1室1厅,26m,低层(共6层),2016年建造,78,古镇小区----松江-泗泾-开江西路486弄
业主急售大同花园+高区南北通两房+配套齐全采光无遮挡+随时看,2室1厅,103m,高层(共32层),1999年建造,880,大同花园(88弄)----卢湾-打浦桥-鲁班路88弄
真盘实价，全明户型，三房正朝南，厨卫厅朝北，90平卖520万,3室1厅,89m,高层(共6层),1996年建造,520,灵石小区----普陀-甘泉宜川-灵石路1620弄
同济绿园 128.68平米 1138.0万元,3室2厅,129m,低层(共18层),2003年建造,1138,同济绿园----杨浦-控江路-控江路1888弄
国和一村 8号线地铁旁 精装修 双南两房 出行方便 好房力荐,2室1厅,58m,高层(共6层),1992年建造,350,国和一村----杨浦-中原社区-国和一村
源城锦苑 93.08平米 680.0万元,2室2厅,93m,共4层,2005年建造,680,源城锦苑----浦东-三林-灵岩南路769弄
420万元买一套数一数二的， 还等什么？？？,2室2厅,98m,低层(共6层),2000年建造,420,汇丽苑----浦东-周浦-关岳路229弄1-156号
93年小区，9/12号线地铁，双南户型，双天井20平，售后房,2室1厅,60m,低层(共6层),1993年建造,650,建国西路211弄小区----徐汇-建国西路-建国西路211弄
435万，62平米，451万打包拿到产证， 照片实拍，有钥匙,1室2厅,62m,中层(共30层),2006年建造,435,中远两湾城(100弄)----普陀-中远两湾城-中潭路100弄
陆家嘴惜售两房 南北通透 前后无遮挡观看世纪公园 中央位置,2室2厅,101m,高层(共19层),2006年建造,1050,陆家嘴中央公寓----浦东-世纪公园-东绣路99弄
印象春城中心位置精装修带地暖南北通满五年带产权车位急售,2室2厅,89m,中层(共18层),2010年建造,420,印象春城----浦东-周浦-年家浜东路129弄1-78号
嘉善！一手现房！总价65万！86平方大两房！70年产权住宅！,1室1厅,35m,中层(共11层),2015年建造,90,坦福风情商务酒店----浦东-金桥-新金桥路1088号
精装修南北通透满五唯一税费少屋主诚意看房随时,3室2厅,135m,高层(共11层),2011年建造,600,万科花园小城----闵行-吴泾-龙吴路5688弄
环境舒适楼层居高视野开阔房东诚心出售价格可谈！！,1室1厅,50m,高层(共6层),1997年建造,275,荷五小区----浦东-金桥-长岛路1398弄1-68号
（赞成红树林精装2房）景观楼层 精致装修 *房装修保养非常,3室2厅,127m,高层(共11层),2012年建造,300,赞成红树林家园----金山-石化-卫零北路800弄
杜鹃园双南厅北，全明户型，对口康健外国语小学，素质住户,2室1厅,64m,高层(共6层),1990年建造,450,杜鹃园----徐汇-康健-钦州南路917弄
江中公寓，新城地铁旁上民乐。精装修正两房南北直通，仅此一套！,2室2厅,87m,中层(共6层),2002年建造,300,江中公寓----松江-松江城区-南期昌路458弄50-198号
上海70年产权住宅房，地铁5号线，大学城旁，南北通透户型,2室2厅,89m,高层(共14层),2016年建造,200,佳源梦想广场----奉贤-柘林-金海公路99弄
香溢花城南北通透满五税少正气两房含车位3/4号线中,2室2厅,103m,低层(共28层),2009年建造,820,香溢花城二期----普陀-光新-石泉东路240号
厨卫全明，客厅朝南，动迁房税少，实拍,2室2厅,90m,高层(共28层),2013年建造,450,盛华景苑----徐汇-华泾-龙吴路2888弄
金桥瑞仕花园+建平九年制+6号线金桥站+配套齐全+送产权车位,4室2厅,179m,低层(共16层),2008年建造,1720,金桥瑞仕花园----浦东-金杨-枣庄路399弄
金都大两房南北通精装修价格只要435万,2室2厅,89m,低层(共6层),2004年建造,435,金都花好悦园----闵行-颛桥-银都路3151弄
宜川三村，房龄新得房率高，南北两房一厅，出行便捷，诚心出售,2室1厅,58m,高层(共7层),1987年建造,338,宜川路51弄小区----普陀-甘泉宜川-宜川路51弄
海浒新村 南北户型 满五 精装 周边配套齐全 紧邻22号线,2室1厅,61m,中层(共6层),1997年建造,112,海浒新村----金山-石化-隆安东路
房源价格真实，双南房，厅南北通透，精装修，送中央空调地暖,2室2厅,90m,低层(共7层),2016年建造,330,惠南一方新城----浦东-惠南-迎薰路222弄
"紧靠地铁1号线 南北户型 中心位置 学,区,房！",2室2厅,59m,低层(共6层),1996年建造,290,新梅花苑(388弄)----闵行-古美罗阳-报春路388弄
长虹坊对口师大附小中心位置楼层好满五年税少,2室1厅,74m,低层(共6层),1993年建造,450,长虹坊----徐汇-康健-桂林西街11弄1-27号
急急急急急售房东心态稳定，绝不乱跳价,1室1厅,68m,中层(共22层),2008年建造,70,光华糖果公园----上海周边-昆山-国际商务城赛格电子市场东
徐汇新城（公寓），上门实勘，好房子，实地看房,3室2厅,114m,中层(共12层),2005年建造,780,徐汇新城(1717弄)----徐汇-长桥-龙吴路1717弄
出门地铁 对口打一 价格可谈 拎包入住,1室,30m,中层(共6层),1986年建造,215,延虹公寓----闵行-龙柏金汇-虹中路796弄
凯迪双拼比肩独栋享受，带花园，送超大露台，居住舒适满五唯一！,5室3厅,210m,共1层,2009年建造,840,凯迪澳澜湾----青浦-赵巷-嘉松中路6633弄
水语人家  交通便利  业主 诚心出售  看房随时,2室2厅,76m,高层(共11层),2011年建造,285,水语人家南苑----闵行-浦江-浦涛路751弄
金杨新村二街坊 43.68平米 290.00万元,1室1厅,44m,低层(共6层),1995年建造,290,金杨新村二街坊----浦东-金杨-金杨路273弄
"南北透板式两房,客厅朝南，好楼层房型正气,性价比高,诚意出售",2室2厅,84m,中层(共6层),2008年建造,179,华盛新苑----奉贤-奉城-新奉公路4595弄
嘉怡水岸大四室：带给您灵动富有想象的空间！,4室2厅,135m,高层(共15层),2013年建造,610,嘉怡水岸(公寓)----闵行-吴泾-紫龙路500弄
金山新城区海尚馨苑精装电梯房成熟社区交通便利近万达,2室2厅,74m,中层(共14层),2008年建造,148,海尚馨苑----金山-金山新城-海盛路515弄
同润 菲诗艾伦 55.44平米 188.0万元,1室1厅,55m,高层(共16层),2010年建造,189,同润圣塔路斯----松江-泗泾-古楼公路1198弄
"曹杨地铁口。88年房龄,3楼,小区中心位置！看房方便",1室1厅,37m,中层(共6层),1991年建造,230,曹杨六村----普陀-曹杨-曹杨六村
低中，介费，由由新村婚房装修南北通透你值得拥有的,2室2厅,87m,中层(共6层),1998年建造,450,由由七村(240弄)----浦东-北蔡-严桥路240弄
宝山一村 48.7平米 230.0万元,1室1厅,49m,低层(共6层),1998年建造,230,宝山一村----宝山-淞宝-宝东路41号
钥匙房方便看，绿城品质开发，小区绿化很高，居住舒适，适合居家,2室2厅,121m,低层(共18层),2004年建造,1000,上海绿城----浦东-杨东-锦和路99弄
双南高区景观房带车位，房东惊爆价诚心出售，对口上外直升大同。,2室2厅,116m,高层(共22层),2005年建造,1030,弘辉名苑----黄浦-蓬莱公园-西藏南路1501弄1-8号
景庭景观公寓复试 大三房格局 带60平米超大露台 好房诚售,3室2厅,162m,高层(共9层),2004年建造,1150,新时代景庭----闵行-古美罗阳-古龙路287弄
周浦巨献，91平米，106平米，116平米，精装修一手房待售,3室2厅,93m,中层(共18层),2016年建造,450,九龙仓兰廷----浦东-周浦-祝家港路399弄
由由新邸 小区中心，动迁无营业税，性价比极高，看房随时，急售,3室2厅,129m,高层(共11层),2002年建造,740,由由新邸----浦东-北蔡-严桥路58弄
顶楼复式+一手动迁+使用面积130平,2室1厅,78m,高层(共6层),2008年建造,380,金利公寓----浦东-唐镇-南曹路901弄
72户都带游泳池，经典小户型花园500平，业主回港诚意出售,4室3厅,288m,共2层,2005年建造,1618,居礼别墅----青浦-徐泾-高泾路555弄
